category,scenario,seed,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid,iid_stage6,100311,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100312,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100313,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100314,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100315,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100316,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100317,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100318,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100319,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100320,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100321,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100322,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100323,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100324,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100325,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100326,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100327,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100328,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100329,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100330,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100331,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100332,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100333,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100334,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100335,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100336,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100337,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100338,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100339,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100340,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100341,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100342,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100343,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100344,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100345,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100346,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100347,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100348,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100349,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100350,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100351,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100352,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100353,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100354,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100355,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100356,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100357,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100358,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100359,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100360,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100361,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100362,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100363,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100364,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100365,0,200,-1.6000000000000014,2,0,2,5,3
iid,iid_stage6,100366,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100367,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100368,0,200,-2.0000000000000013,0,0,0,7,3
